nombre_proyecto;descripcion_proyecto;semillero;integrantes;director_proyecto;co_director;estado
Modelo Para La Gestión Estratégica De Conocimiento A Partir De La Información Contenida En Las Redes Sociales Del Grupo De Investigación GALASH;Análisis de la información contenida en las redes sociales del grupo de investigación GALASH aplicando modelos de predicción de series de tiempo y aplicación de modelos de generación de lenguaje utilizando GPT;Semillero de investigación e innovación de Ingeniería de Sistemas (SIIIS);Edwin Camilo Sanabria Torres y Mayerly Andrea Salcedo Barrera;Edmundo Arturo Junco Orduz;No tiene;En Ejecución
Caracterizacion De Los Sistemas De Control Y Automatizacion Industrial Empleados En Industrias De La Provincia Tundama Y Sugamuxi;Este proyecto se centra en la seguridad de las infraestructuras críticas que utilizan sistemas de control y automatización industrial.;Sin especificar;Fabian Andres Medina Becerra;Fabian Andres Medina Becerra;No tiene;Finalizado
Coleccion De Datos Para El Analisis Del Comportamiento De Enfermedades Reproductivas. Caso De Estudio Municipio De Toca ¿ Colombia;Este proyecto se centra en la aplicación de ontologías en la medicina veterinaria específicamente en el diagnóstico de enfermedades en hatos lecheros. ;Sin especificar;Javier Antonio Ballesteros Ricaurte;Javier Antonio Ballesteros Ricaurte;No tiene;Finalizado
Aplicacion De Aprendizaje De Maquina En Agricultura De Precision Para El Apoyo A La Deteccion De La Enfermedad De La Gota En Cultivo De Papa;EN ESTA PROPUESTA DE INVESTIGACION SE PROPONE EVALUAR TECNICAS DE APRENDIZAJE DE MAQUINA (MACHINE LEARNING) EN EL CONTEXTO DE LA AGRICULTURA DE PRECISION PARA LA DETECCION TEMPRANA DE LA ENFERMEDAD GOTA DE LA PAPA O PHYTOPHTHORA INFESTANS QUE AFECTA DE MANERA IMPORTANTE LOS CULTIVOS DE PAPA EN CLIMA TEMPLADO;Sin especificar;William Alexander Lozada Portilla. Laura Alejandra Montaña Merchan. Juana Valentina Garcia Ariza. Yariz Camila Valderrama Barreto. Juana Valentina Garcia Ariza. Juana Valentina Garcia Ariza. Angie Lizeth Gómez Acevedo;Marco Javier Suarez Baron;Eduardo Avendaño Fernandez. Oscar Javier Garcia Cabrejo. Robert Alexander Limas Sierra. Johan David Diaz Mendivelso;Finalizado
Aplicación De Aprendizaje De Máquina En La Predicción Espacio Temporal De La Precipitación Total Mensual En El Departamento De Boyacá.;El proyecto se enfoca en abordar el aumento de la demanda de agua en las principales ciudades del departamento de Boyacá Colombia debido al crecimiento poblacional y su relevancia agrícola en la distribución de productos a nivel nacional.;Sin especificar;Manuel Ricardo Perez Reyes. Juan Sebastian Montañez Chaparro. Jimmy Alejandro Zea Gutierrez. Yariz Camila Valderrama Barreto. Yessid Esteban Duarte Prieto. Johann Santiago Niño Medina;Marco Javier Suarez Baron;Edmundo Arturo Junco Orduz. Camilo Harvey Bohorquez Dallos. Jairo Armando Riaño Herrera. Oscar Javier Garcia Cabrejo;En Ejecución
Aplicación De Lógica Bayesiana Y Series Tiempo Para Pronóstico De La Demanda De Medicamentos De Alto Costo En Centros Hospitalarios De La Provincia Centro Sugamuxi Y Tundama;Este proyecto busca mejorar la gestión de inventarios en cadenas de suministro médico para aumentar el bienestar social al abordar desafíos comunes en adquisición y administración;Sin especificar;Yariz Camila Valderrama Barreto. Donovan Steven Picon Sossa. Cristian Alejandro Fandiño Mesa. Diego Alejandro Corredor Rojas. Andrés Ivan Sierra Espinel. Andrés Felipe Dueñas Maldonado. Cristian Camilo Suancha Alvarez;Marco Javier Suarez Baron;Juan Sebastian Gonzalez Sanabria. Camilo Harvey Bohorquez Dallos. Oscar Javier Garcia Cabrejo. Fabian Andres Medina Becerra. Edmundo Arturo Junco Orduz. Jairo Armando Riaño Herrera;En Ejecución
Creación De Laboratorio De Inteligencia Artificial  Lia. Escuela De Ingeniería De Sistemas Y Computación-Uptc Sogamoso. Fase 1;Este proyecto implica la creación de un espacio de trabajo compartido para el desarrollo de proyectos informáticos especialmente centrados en inteligencia artificial y programación avanzada con el objetivo de establecer un laboratorio de investigación en la fase inicial.;Sin especificar;Cristian Camilo Suancha Alvarez. Javier Felipe Ortiz Angarita. Andrés Felipe Dueñas Maldonado;Marco Javier Suarez Baron;Fabian Andres Medina Becerra. Edmundo Arturo Junco Orduz. Johan David Diaz Mendivelso. Oscar Javier Garcia Cabrejo. Camilo Harvey Bohorquez Dallos. Mauro Callejas Cuervo. Jairo Armando Riaño Herrera;En Ejecución
Análisis de modelos de propagion de ondas electromagnéticas (OEM) en espacios subterráneos mediante simulación con herramientas de software libre; Implementar y simular dos modelos de propagación de OEM en espacios subterráneos utilizando el framework OMNet++ como herramienta de simulación Se abordarán los modelos de Multimode y True Rays para obtener resultados de pérdida de transmisión y potencia de recepción en diferentes escenarios de redes en minas subterráneas;Sin especificar;Laura Melissa Barrera Pinto. Cristian Camilo Suancha Alvarez;Fabián Andrés Medina Becerra;No tiene;Finalizado
APLICACIÓN DE TÉCNICAS DE PREDICCIÓN Y PRONÓSTICO ORIENTADA A LA CADENA DE PRODUCCIÓN FARMACÉUTICA.;Implementación de modelos econométricos y enfoques basados en aprendizaje profundo con el fin de pronosticar la demanda de los principales principios activos necesarios para la elaboración y producción de medicamentos en concordancia con la cadena de suministro del ESE Hospital San Rafael de Tunja.;"Semillero de investigación en aprendizaje de máquina 
(machine learning)";Andrés Ivan Sierra Espinel. Andrés Felipe Dueñas Maldonado;Marco Javier Suárez Barón;No tiene;Finalizado
HERRAMIENTA PARA LA GESTIÓN Y ANÁLISIS DE PRESENCIA DE ELEMENTOS VOLÁTILES Y MATERIALES EXPLOSIVOS PARA LAS PEQUEÑAS EMPRESAS DE EXTRACCIÓN SUBTERRÁNEA DE CARBÓN EN BOYACÁ;Aplicación móvil para la gestión de gases polvo de carbón y polvo inerte presentes dentro de una mina;Semilleros en Transformación digital empresarial;Hovar Steven Rincón Vianchá;CAMILO HARVEY BOHORQUEZ DALLOS;No tiene;Finalizado
