Título,País,Revista,ISSN,Año,Volumen,Fascículo,Páginas,DOI,Autores
Application of Unsupervised Learning in the Early Detection of Late Blight in Potato Crops Using Image Processing,Colombia,INGE CUC,0122-6517,2022,18,2,1 - 14,10.17981/1822022,"EDMUNDO ARTURO JUNCO ORDUZ, MARCO JAVIER SUAREZ BARON"
Deep Neural Network DNN Applied to the Analysis of Student Dropout,Colombia,Revista Investigación E Innovación En Ingenieria,2344-8652,2022,10,1,202 - 214,10.17081/invinno.10.1.5607,"MARCO JAVIER SUAREZ BARON, JUAN SEBASTIAN GONZALEZ SANABRIA, JORGE ENRIQUE ESPINDOLA DIAZ"
Linja: A Mobile Application Based on Minimax Strategy and Game Theory,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,0121-1129,2022,31,59,1 - 2,10.19053/01211129.v31.n59.2022.14136,"JUAN SEBASTIAN GONZALEZ SANABRIA, MARCO JAVIER SUAREZ BARON"
Supervised Learning-Based Image Classification for the Detection of Late Blight in Potato Crops,,APPLIED SCIENCES BASEL,2076-3417,2022,12,18,1 - 17,10.3390/app12189371,MARCO JAVIER SUAREZ BARON
Análisis de gestos deportivos de saque con salto en voleibol usando videometría,Colombia,REVISTA CIENTIFICA,0124-2253,2022,43,1,20 - 37,10.14483/23448350.18329,"MARCO JAVIER SUAREZ BARON, YOLANDA TORRES PEREZ, JUAN SEBASTIAN GONZALEZ SANABRIA"
ANALITICA DE DATOS APLICADA AL ESTUDIO DE DESERCIÓN ESTUDIANTIL EN LA UNIVERSIDAD PEDAGÓGICA Y TECNOLÓGICA DE COLOMBIA ¿ UPTC,Colombia,Revista Aglala,2215-7360,2020,11,s1,284 - 301,,"JUAN SEBASTIAN GONZALEZ SANABRIA, MARCO JAVIER SUAREZ BARON"
Propuesta metodológica para la auditoría de ciberseguridad aplicada a un sistema SCADA,Colombia,Ingenierías USBMed,2027-5846,2020,11,,62 - 70,10.21500/20275846.4307,"FABIAN ANDRES MEDINA BECERRA, MIGUEL ANGEL MENDOZA MORENO, RICARDO ALONSO TORRES VALERO"
Guía metodológica para la selección de proveedores DBaaS en Pymes,Colombia,REVISTA CIENTIFICA,0124-2253,2020,39,N/A,367 - 375,10.14483/23448350.16938,"MARCO JAVIER SUAREZ BARON, FABIAN LEONARDO VARGAS CORREDOR, JORGE ENRIQUE QUEVEDO REYES, JUAN SEBASTIAN GONZALEZ SANABRIA"
Metodologías de evaluación del riesgo en ciberseguridad aplicadas a sistemas SCADA para compañías eléctricas,Venezuela,ESPACIOS,0798-1015,2020,41,N/A,27 - 41,10.48082/espacios-,"FABIAN ANDRES MEDINA BECERRA, JAIRO ALONSO MESA LARA, WILMAR ANDRES ROSAS BELLO"
Avances y desafíos de métodos y modelos computacionales aplicados al análisis de información en redes sociales,Colombia,Vínculos,1794-211X,2019,16,,1 - 22,10.14483/2322939X.14714,"JOHAN DAVID DIAZ MENDIVELSO, MARCO JAVIER SUAREZ BARON"
