Título,Descripción,Fecha,Fecha_año,Fecha_mes,Fecha_dia,Fecha_hora,Enlace permanente,Tipo de publicación,Personas alcanzadas,Total de clics,Impresiones,Interacciones,Veces que se compartió,Me gusta,Comentarios,Usuarios que interactúan,Año,Mes,Nombre_Mes,Mes_Y_Año
Actualización de estado,No tiene descripción,2023-08-08 16:08:00,2023,08,08,16:08,https://www.facebook.com/GrupoGALASH/posts/pfbid02b7M2q6PSg86kautaMwnMhncmMd46KXUappqUrwaC5FXGaEt4SL2qivzKwL8pm3FDl,Foto,37,0.0,49.0,8,0,8,0,8.0,2023,8,August,August 2023
Actualización de estado,No tiene descripción,2023-08-12 10:08:00,2023,08,12,10:08,https://www.facebook.com/GrupoGALASH/posts/pfbid021ZYoxvdp5ENVxvKcbz2XTqSxpAbGpGfwdHPWTBn5Dp95jM2Bhd724vw3jHJJsYuwl,Foto,37,1.0,47.0,9,0,9,0,9.0,2023,8,August,August 2023
Actualización de estado,No tiene descripción,2023-08-08 16:08:00,2023,08,08,16:08,https://www.facebook.com/GrupoGALASH/posts/pfbid02Suqz6gGiZ5CckspGYWwa3NgzsyTVXuRoccsgR4chCChUb63LsoRRvtmLksyWKrirl,Foto,30,0.0,38.0,9,0,9,0,9.0,2023,8,August,August 2023
Actualización de estado,No tiene descripción,2023-08-08 16:08:00,2023,08,08,16:08,https://www.facebook.com/GrupoGALASH/posts/pfbid02PJGf4XJ7ArQHxtqD1HBQmVR6FM1391cwVnsdmh91q9yi3yvBHwv4Y5KbdXMUb7Tfl,Foto,34,1.0,46.0,10,0,10,0,10.0,2023,8,August,August 2023
Actualización de estado,No tiene descripción,2023-12-04 09:12:00,2023,12,04,09:12,https://www.facebook.com/GrupoGALASH/posts/pfbid05i95kdDUhi1eg6Dnvfi4eZg4Rj3PhReCYqqfftEwtgB76kTArvrND139TZXGrzmTl,Foto,49,1.0,54.0,16,0,16,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-04 10:12:00,2023,12,04,10:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02QmtgceeWrUDyHDBByV1qH6UzJxQeGxh3DoM9dCu7Z2ktrvXiDUyNoX5XedqG9to1l,Foto,31,0.0,36.0,14,0,14,0,14.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-04 10:12:00,2023,12,04,10:12,https://www.facebook.com/GrupoGALASH/posts/pfbid0p4Ad5f6AeZSonBN2r9d1aDLn4fy6ZVLX8kzkCCGfvxQP1YjfwoYS9vMYJPwSSdHAl,Foto,58,3.0,68.0,16,0,16,0,17.0,2023,12,December,December 2023
No tiene Título,"📢 #UPTCInforma¡Desde el Grupo de Investigación GALASH! Con satisfacción, anunciamos la finalización exitosa del curso de Machine Learning en colaboración con estudiantes de doctorado de la Universidad de Talca de Chile. 🎓🚀

Bajo la dirección del profesor Marco Javier Suarez Baron, director del Grupo de investigación Galash y profesor en la UPTC - Universidad Pedagógica y Tecnológica de Colombia, se culmina un viaje de aprendizaje y descubrimiento en el mundo de la inteligencia artificial. 👨🏻‍💻✨

Queremos expresar nuestro profundo agradecimiento al Profesor Suarez Baron por su dedicación y conocimientos que han enriquecido esta experiencia educativa.

¡Felicidades a todos los estudiantes involucrados por su arduo trabajo y compromiso! 🌐💡 #GALASH #GALASHResearch #MachineLearning #ColaboraciónInternacional #ÉxitoAcadémico #InteligenciaArtificial #InvestigaciónCientífica #UPTC #uptcsogamoso #UPTCInforma",2023-12-04 12:12:00,2023,12,04,12:12,https://www.facebook.com/GrupoGALASH/posts/pfbid08N8Jwd2oYb4zy15cCoHUcP9CD7ThDQefh915vKWXFcwMm3P1aHJb9gCCxDe5PXgJl,Foto,31,25.0,42.0,16,0,16,0,27.0,2023,12,December,December 2023
No tiene Título,"📢 #UPTCInforma¡Desde el Grupo de Investigación GALASH! Nos complace compartir la exitosa reunión en dónde se reunieron el director del departamento de Ingeniería de Sistemas y Computación Uptc - Seccional Sogamoso,el ingeniero Jairo Armando Riaño, el Dr. Ingeniero Marco Javier Suárez y el Dr. Mario Eduardo Sánchez Puccini, director de la Universidad de los Andes !🚀

🌐💡 #GALASH #GALASHResearch #MachineLearning #ColaboraciónInternacional #ÉxitoAcadémico  #InvestigaciónCientífica #UPTC #uptcsogamoso #UPTCInforma",2023-12-04 12:12:00,2023,12,04,12:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02uLVvwgajTAK8YTsX2SsEpsBk7Cs5UMjy5C5QDf27Sm9JyjkiZ86kFJsqyUqHS6mgl,Foto,82,7.0,98.0,16,0,16,0,16.0,2023,12,December,December 2023
Actualización de estado,No tiene descripción,2023-12-07 18:12:00,2023,12,07,18:12,https://www.facebook.com/GrupoGALASH/posts/pfbid02NHJCM5jorQT7TjxQjmfU7V8gGewfdvyqyJh9WZYyt2QgmTikm19RkF99ktttp8epl,Foto,70,6.0,87.0,16,0,16,0,20.0,2023,12,December,December 2023
